timestamp,caching_service.cache.evicted_keys,caching_service.cache.hit_rate,auth_service.p99_latency,products_api.p99_latency,checkout_service.p99_latency,auth_db.cpu.utilization,products_db.cpu.utilization,checkout_db.cpu.utilization
2024-01-15T13:00:00,0,95,150,200,300,30,30,30
2024-01-15T13:01:00,0,96,151,201,301,31,31,31
2024-01-15T13:02:00,0,97,152,202,302,32,32,32
2024-01-15T13:03:00,0,98,153,203,303,33,33,33
2024-01-15T13:04:00,0,99,154,204,304,34,34,34
2024-01-15T13:05:00,0,95,155,205,305,35,35,35
2024-01-15T13:06:00,0,96,156,206,306,36,36,36
2024-01-15T13:07:00,0,97,157,207,307,37,37,37
2024-01-15T13:08:00,0,98,158,208,308,38,38,38
2024-01-15T13:09:00,0,99,159,209,309,39,39,39
2024-01-15T13:10:00,0,95,160,210,310,40,40,40
2024-01-15T13:11:00,0,96,161,211,311,41,41,41
2024-01-15T13:12:00,0,97,162,212,312,42,42,42
2024-01-15T13:13:00,0,98,163,213,313,43,43,43
2024-01-15T13:14:00,0,99,164,214,314,44,44,44
2024-01-15T13:15:00,0,95,165,215,315,45,45,45
2024-01-15T13:16:00,0,96,166,216,316,46,46,46
2024-01-15T13:17:00,0,97,167,217,317,47,47,47
2024-01-15T13:18:00,0,98,168,218,318,48,48,48
2024-01-15T13:19:00,0,99,169,219,319,49,49,49
2024-01-15T13:20:00,0,95,170,220,320,30,30,30
2024-01-15T13:21:00,0,96,171,221,321,31,31,31
2024-01-15T13:22:00,0,97,172,222,322,32,32,32
2024-01-15T13:23:00,0,98,173,223,323,33,33,33
2024-01-15T13:24:00,0,99,174,224,324,34,34,34
2024-01-15T13:25:00,0,95,175,225,325,35,35,35
2024-01-15T13:26:00,0,96,176,226,326,36,36,36
2024-01-15T13:27:00,0,97,177,227,327,37,37,37
2024-01-15T13:28:00,0,98,178,228,328,38,38,38
2024-01-15T13:29:00,0,99,179,229,329,39,39,39
2024-01-15T13:30:00,0,95,180,230,330,40,40,40
2024-01-15T13:31:00,0,96,181,231,331,41,41,41
2024-01-15T13:32:00,0,97,182,232,332,42,42,42
2024-01-15T13:33:00,0,98,183,233,333,43,43,43
2024-01-15T13:34:00,0,99,184,234,334,44,44,44
2024-01-15T13:35:00,0,95,185,235,335,45,45,45
2024-01-15T13:36:00,0,96,186,236,336,46,46,46
2024-01-15T13:37:00,0,97,187,237,337,47,47,47
2024-01-15T13:38:00,0,98,188,238,338,48,48,48
2024-01-15T13:39:00,0,99,189,239,339,49,49,49
2024-01-15T13:40:00,0,95,190,240,340,30,30,30
2024-01-15T13:41:00,0,96,191,241,341,31,31,31
2024-01-15T13:42:00,0,97,192,242,342,32,32,32
2024-01-15T13:43:00,0,98,193,243,343,33,33,33
2024-01-15T13:44:00,0,99,194,244,344,34,34,34
2024-01-15T13:45:00,0,95,195,245,345,35,35,35
2024-01-15T13:46:00,0,96,196,246,346,36,36,36
2024-01-15T13:47:00,0,97,197,247,347,37,37,37
2024-01-15T13:48:00,0,98,198,248,348,38,38,38
2024-01-15T13:49:00,0,99,199,249,349,39,39,39
2024-01-15T13:50:00,0,95,150,200,300,40,40,40
2024-01-15T13:51:00,0,96,151,201,301,41,41,41
2024-01-15T13:52:00,0,97,152,202,302,42,42,42
2024-01-15T13:53:00,0,98,153,203,303,43,43,43
2024-01-15T13:54:00,0,99,154,204,304,44,44,44
2024-01-15T13:55:00,0,95,155,205,305,45,45,45
2024-01-15T13:56:00,0,96,156,206,306,46,46,46
2024-01-15T13:57:00,0,97,157,207,307,47,47,47
2024-01-15T13:58:00,0,98,158,208,308,48,48,48
2024-01-15T13:59:00,0,99,159,209,309,49,49,49
2024-01-15T14:00:00,100,95,150,200,300,30.0,30.0,30.0
2024-01-15T14:01:00,150,93,165,220,330,32.0,32.0,32.0
2024-01-15T14:02:00,200,91,180,240,360,34.0,34.0,34.0
2024-01-15T14:03:00,250,89,195,260,390,36.0,36.0,36.0
2024-01-15T14:04:00,300,87,210,280,420,38.0,38.0,38.0
2024-01-15T14:05:00,350,85,225,300,450,40.0,40.0,40.0
2024-01-15T14:06:00,400,83,240,320,480,42.0,42.0,42.0
2024-01-15T14:07:00,450,81,255,340,510,44.0,44.0,44.0
2024-01-15T14:08:00,500,79,270,360,540,46.0,46.0,46.0
2024-01-15T14:09:00,550,77,285,380,570,48.0,48.0,48.0
2024-01-15T14:10:00,600,75,300,400,600,50.0,50.0,50.0
2024-01-15T14:11:00,650,73,315,420,630,52.0,52.0,52.0
2024-01-15T14:12:00,700,71,330,440,660,54.0,54.0,54.0
2024-01-15T14:13:00,750,69,345,459,690,56.0,56.0,56.0
2024-01-15T14:14:00,800,67,360,480,720,58.0,58.0,58.0
2024-01-15T14:15:00,850,65,375,500,750,60.0,60.0,60.0
2024-01-15T14:16:00,900,63,390,520,780,62.0,62.0,62.0
2024-01-15T14:17:00,950,61,405,540,810,64.0,64.0,64.0
2024-01-15T14:18:00,1000,59,420,560,840,66.0,66.0,66.0
